AHRI Ref. #,Outdoor Unit Brand Name,Outdoor Unit Series Name,Outdoor Unit Model Number,Indoor Unit Brand Name,Mini/Multi-Split Indoor Unit Type,Indoor Unit Model Number,Furnace Model Number,"Cooling Capacity (95F), btuh (Appendix M1) *",EER2 (95F) (Appendix M1) *,SEER2 (Appendix M1) *,"Cooling Capacity (95F), btuh (Appendix M) *",EER (95F) (Appendix M) *,IEER (95F) (Appendix M) *,SEER (Appendix M) *,"Full-Load Cooling Air Volume Rate, scfm (Appendix M1)","Full-Load Cooling Air Volume Rate, scfm (Appendix M)","Intermediate Cooling Air Volume Rate, scfm (Appendix M)","Minimum Cooling Air Volume Rate, scfm (Appendix M)",Model Status,Manufacturer Type,AHRI Type,Split or Packaged?,Phase,Designated Tested Combination?,Region,Refrigerant Type,Sold In?,CEE Tier,Energy Guide Label,ENERGY STAR ® Certified?,Potential Eligibility for IRA Tax Credit,Is Rerated
215489186,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022+MBVK16CP1X00A*,,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCU-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489187,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418+MBVK16CP1X00A*,,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCU-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489189,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022+MBVK12BP1X00A*,,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCU-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489190,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418+MBVK12BP1X00A*,,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCU-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489191,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,ADVT960804C,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489192,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,ADVT960804C,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489194,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,A*VT960803BNA*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489195,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,A*VT960803BNA*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489197,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,ADVT960603B,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489198,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,ADVT960603B,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
