Brand,Outdoor Unit (ac),Furnace,Evaporator Coil,Air Handler,Thermostat,Outdoor Unit (hp)
AMANA,ALXS4BA1810,AD9T960403BN,A-CAPTA2422A3,AMST30BU1300,ATST-CWE-BL-A,ALZS4BA1810
AMANA,ALXS4BA2410,AD9T960603BN,A-CAPTA2422B3,AMST36BU1300,1F96U-42WF,ALZS4BA2410
AMANA,ALXS4BA3010,AD9T960803BN,A-CAPTA2422C3,AMST36CU1300,1F76U-22WFB,ALZS4BA3010
AMANA,ALXS4BA3610,AD9T961005CN,A-CAPTA3022A4,AMST42CU1300,,ALZS4BA3610
AMANA,ALXS4BA4210,AD9S960403BN,A-CAPTA3022B3,AMST48CU1300,,ALZS4BA4210
AMANA,ALXS4BA4810,AD9S960603BN,A-CAPTA3022C4,AMST48DU1300,,ALZS4BA4810
AMANA,ALXS4BA6010,AD9S960804CN,A-CAPTA3026B3,AMST60DU1300,,ALZS4BA6010
AMANA,ALXS3BN1810,AD9S961005CN,A-CAPTA3026C3,AHVE24BP1300,,ALZS5BA1810
AMANA,ALXS3BN2410,AD9S961205DN,A-CAPTA3626B3,AHVE36CP1300,,ALZS5BA2410
AMANA,ALXS3BN3010,AD9S800403AN,A-CAPTA3626C3,AHVE42CP1300,,ALZS5BA3010
AMANA,ALXS3BN3610,AD9S800603AN,A-CAPTA4230C3,AHVE48CP1300,,ALZS5BA3610
AMANA,ALXS3BN4210,AD9S800804BX,A-CAPTA4230D4,AHVE48DP1300,,ALZS5BA4210
AMANA,ALXS3BN4810,AD9S800805CX,A-CAPTA6030C3,AHVE60DP1300,,ALZS5BA4810
AMANA,ALXS3BN6010,AD9S801005CX,A-CAPTA6030D3,AMVT24BP1300,,ALZS5BA6010
AMANA,ALXS5BA1810,AD9T800403AX,A-CAPEA1818B4,AMVT30BP1300,,ALZT7CA2410
AMANA,ALXS5BA2410,AD9T800603AX,A-CAPEA1818C4,AMVT36CP1300,,ALZT7CA3610
AMANA,ALXS5BA3010,AD9T800603BX,A-CHPTA1822A3,AMVT42CP1300,,ALZT7CA4810
AMANA,ALXS5BA3610,AD9T800804BX,A-CHPTA1822B3,AMVT48CP1300,,ALZT7CA6010
AMANA,ALXS5BA4210,AD9T800805CX,A-CHPTA2426B3,AMVT60DP1300,,ASZV902410
AMANA,ALXS5BA4810,AD9T801005CX,A-CHPTA2426C3,,,ASZV903610
AMANA,ALXS5BA6010,ADVT800603BX,A-CHPTA3026B3,,,ASZV904810
AMANA,ALXT7CA2410,ADVT800803BX,A-CHPTA3026C3,,,ASZV906010
AMANA,ALXT7CA3610,ADVT800805CX,A-CHPTA3630B3,,,AZV6SA1810
AMANA,ALXT7CA4810,ADVT801005CX,A-CHPTA3630C3,,,AZV6SA2410
AMANA,ALXT7CA6010,ADVT960403BN,A-CHPTA4230C3,,,AZV6SA3010
AMANA,ASXV902410,ADVT960603BN,A-CHPTA4830C3,,,AZV6SA3610
AMANA,ASXV903610,ADVT960804CN,A-CHPTA6030D3,,,AZV6SA4210
AMANA,ASXV904810,ADVT961005CN,A-CHPEA2422B3,,,AZV6SA4810
AMANA,ASXV906010,ADVT961205DN,A-CHPEA3026B3,,,AZV6SA6010
AMANA,AXV6SA1810,ADVM970603BN,A-CHPEA3026C3,,,AZV7SA2410
AMANA,AXV6SA2410,ADVM970803BN,A-CHPEA3626B3,,,AZV7SA3610
AMANA,AXV6SA3010,ADVM970804CN,A-CHPEA3626C3,,,AZV7SA4210
AMANA,AXV6SA3610,ADVM971005CN,A-CHPEA4830C3,,,AZV7SA4810
AMANA,AXV6SS1810,AR9S960403AN,A-CHPEA4830D3,,,
AMANA,AXV6SS2410,AR9S960603BN,A-CHPEA6030C3,,,
AMANA,AXV6SS3010,AR9S960803BN,A-CHPEA6030D3,,,
AMANA,AXV6SS3610,AR9S960804CN,,,,
AMANA,AXV6SS4210,AR9S960805CN,,,,
AMANA,AXV6SS4810,AR9S961005CN,,,,
AMANA,AXV6SS6010,AR9S961205DN,,,,
AMANA,,AR9S920403AN,,,,
AMANA,,AR9S920603BN,,,,
AMANA,,AR9S920803BN,,,,
AMANA,,AR9S920804CN,,,,
AMANA,,AR9S920805CN,,,,
AMANA,,AR9S921004CN,,,,
AMANA,,AR9S921005CN,,,,
AMANA,,AR9S921205DN,,,,
AMANA,,AR9T960303AN,,,,
AMANA,,AR9T960403AN,,,,
AMANA,,AR9T960603AN,,,,
AMANA,,AR9T960603BN,,,,
AMANA,,AR9T960803BN,,,,
AMANA,,AR9T960804CN,,,,
AMANA,,AR9T961004CN,,,,
AMANA,,AR9T961005CN,,,,
AMANA,,AR9T961205DN,,,,
AMANA,,AR9S800403AX,,,,
AMANA,,AR9S800603AX,,,,
AMANA,,AR9S800603BN,,,,
AMANA,,AR9S800604BX,,,,
AMANA,,AR9S800803BX,,,,
AMANA,,AR9S800804BX,,,,
AMANA,,AR9S800804CX,,,,
